% X-coord,  Y-coord,  Polarization,  wavelength,  type, deviceID_params
-2673,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N328nmPeriod500nmW20nmdW0Apo_1
-2673,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N302nmPeriod500nmW20nmdW0Apo_1
-2196,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N304nmPeriod500nmW20nmdW0Apo_1
-1480,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N333nmPeriod500nmW20nmdW0Apo_1
-287,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N312nmPeriod500nmW20nmdW0Apo_1
-1480,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N307nmPeriod500nmW20nmdW0Apo_1
-429,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM96
-1240,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM72
-525,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N311nmPeriod500nmW20nmdW0Apo_1
-1500,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM48
-1931,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM48
-2213,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM12
-2015,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM24
-764,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N310nmPeriod500nmW20nmdW0Apo_1
-2196,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N330nmPeriod500nmW20nmdW0Apo_1
-1758,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM36
-2213,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM36
-1184,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM60
-831,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM84
-865,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM72
-1582,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM60
39,  258,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_15001600_PCM108
-48,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N313nmPeriod500nmW20nmdW0Apo_1
-110,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM96
-489,  601,  TE,  1550,  device, Mateo_thinzep_aircladded_ybranch_PCM84
-287,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N338nmPeriod500nmW20nmdW0Apo_1
-1719,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N306nmPeriod500nmW20nmdW0Apo_1
-1241,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N308nmPeriod500nmW20nmdW0Apo_1
-1003,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N335nmPeriod500nmW20nmdW0Apo_1
-525,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N337nmPeriod500nmW20nmdW0Apo_1
-1957,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N331nmPeriod500nmW20nmdW0Apo_1
-1719,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N332nmPeriod500nmW20nmdW0Apo_1
-764,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N336nmPeriod500nmW20nmdW0Apo_1
-1241,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N334nmPeriod500nmW20nmdW0Apo_1
-1957,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N305nmPeriod500nmW20nmdW0Apo_1
-48,  1900,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N339nmPeriod500nmW20nmdW0Apo_1
-1003,  2394,  TE,  1550,  device, Mateo_bragg_DW_GC_1000N309nmPeriod500nmW20nmdW0Apo_1
-155,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter14_1
-776,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter10_1
-621,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter10_2
-466,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter12_1
155,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter16_1
-2331,  -1182,  TE,  1550,  device, DW_GC_scaled_by_diamter24_1
0,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter14_2
-2175,  -1182,  TE,  1550,  device, DW_GC_scaled_by_diamter24_2
-1554,  -1182,  TE,  1550,  device, DW_GC_scaled_by_diamter30_2
-1864,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter2_2
-4855,  -4858,  TE,  1550,  device, AlignmentYBranch_comment
-4755,  -4858,  TE,  1310,  device, Alignment_comment
-4655,  -4858,  TE,  1310,  device, AlignmentYBranch_comment
-4955,  -4858,  TE,  1550,  device, Alignment_comment
-1709,  -1182,  TE,  1550,  device, DW_GC_scaled_by_diamter30_1
-1398,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter6_1
-310,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter12_2
-1709,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter4_1
-1554,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter4_2
-1243,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter6_2
-2020,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter2_1
-2020,  -1182,  TE,  1550,  device, DW_GC_scaled_by_diamter26_1
-1087,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter8_1
-932,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter8_2
-1864,  -1182,  TE,  1550,  device, DW_GC_scaled_by_diamter26_2
-2331,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter0_1
-2175,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter0_2
-1321,  -99,  TE,  1550,  device, Mateo_ANT_ybranch_reflected_3
-1916,  -99,  TE,  1550,  device, Mateo_ANT_ybranch_reflected_1
-2213,  -99,  TE,  1550,  device, Mateo_thinzep_ybranch15001600_reflected_3
-1619,  -99,  TE,  1550,  device, Mateo_ANT_ybranch_reflected_2
5345,  -4858,  TE,  1310,  device, AlignmentYBranch_comment
5045,  -4858,  TE,  1550,  device, Alignment_comment
1243,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter22_2
777,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter20_1
466,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter18_1
311,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter16_2
932,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter20_2
1088,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter22_1
622,  -1026,  TE,  1550,  device, DW_GC_scaled_by_diamter18_2
5145,  -4858,  TE,  1550,  device, AlignmentYBranch_comment
5245,  -4858,  TE,  1310,  device, Alignment_comment

% X-coord, Y-coord, deviceID, padName, params

% X-coord, Y-coord, recipeID, params
